period_state,period,period_start_date,state,g_search_score,album_event,album_id,album_release_date,album_release_day,periods_from_release,us_search_avg,us_peak_search,global_search_avg,global_peak_search
"2006/09/28-2006/10/10, Alabama",2006/09/28-2006/10/10,2006-09-28,Alabama,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Alaska",2006/09/28-2006/10/10,2006-09-28,Alaska,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Arizona",2006/09/28-2006/10/10,2006-09-28,Arizona,8,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Arkansas",2006/09/28-2006/10/10,2006-09-28,Arkansas,46,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, California",2006/09/28-2006/10/10,2006-09-28,California,3,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Colorado",2006/09/28-2006/10/10,2006-09-28,Colorado,7,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Connecticut",2006/09/28-2006/10/10,2006-09-28,Connecticut,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Delaware",2006/09/28-2006/10/10,2006-09-28,Delaware,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, District of Columbia",2006/09/28-2006/10/10,2006-09-28,District of Columbia,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Florida",2006/09/28-2006/10/10,2006-09-28,Florida,6,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Georgia",2006/09/28-2006/10/10,2006-09-28,Georgia,3,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Hawaii",2006/09/28-2006/10/10,2006-09-28,Hawaii,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Idaho",2006/09/28-2006/10/10,2006-09-28,Idaho,25,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Illinois",2006/09/28-2006/10/10,2006-09-28,Illinois,3,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Indiana",2006/09/28-2006/10/10,2006-09-28,Indiana,8,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Iowa",2006/09/28-2006/10/10,2006-09-28,Iowa,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Kansas",2006/09/28-2006/10/10,2006-09-28,Kansas,13,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Kentucky",2006/09/28-2006/10/10,2006-09-28,Kentucky,11,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Louisiana",2006/09/28-2006/10/10,2006-09-28,Louisiana,11,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Maine",2006/09/28-2006/10/10,2006-09-28,Maine,33,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Maryland",2006/09/28-2006/10/10,2006-09-28,Maryland,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Massachusetts",2006/09/28-2006/10/10,2006-09-28,Massachusetts,5,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Michigan",2006/09/28-2006/10/10,2006-09-28,Michigan,15,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Minnesota",2006/09/28-2006/10/10,2006-09-28,Minnesota,15,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Mississippi",2006/09/28-2006/10/10,2006-09-28,Mississippi,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Missouri",2006/09/28-2006/10/10,2006-09-28,Missouri,11,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
"2006/09/28-2006/10/10, Montana",2006/09/28-2006/10/10,2006-09-28,Montana,0,Debut,DEBUT,2006-10-24,Tuesday,-2,69,2006-10-08,69,2006-10-07
