Category: All categories

Month,Taylor Swift: (United States)
2006-11,4
2006-12,4
2007-01,4
2007-02,4
2007-03,4
2007-04,5
2007-05,5
2007-06,5
2007-07,5
2007-08,4
2007-09,5
2007-10,5
2007-11,9
2007-12,9
2008-01,9
2008-02,9
2008-03,8
2008-04,8
2008-05,9
2008-06,9
2008-07,7
2008-08,8
2008-09,14
2008-10,15
2008-11,33
2008-12,23
2009-01,22
2009-02,23
2009-03,20
2009-04,18
2009-05,19
2009-06,21
2009-07,19
2009-08,20
2009-09,63
2009-10,27
2009-11,44
2009-12,32
2010-01,24
2010-02,28
2010-03,17
2010-04,17
2010-05,16
2010-06,13
2010-07,11
2010-08,20
2010-09,22
2010-10,37
2010-11,39
2010-12,30
2011-01,27
2011-02,23
2011-03,16
2011-04,17
2011-05,18
2011-06,19
2011-07,16
2011-08,21
2011-09,15
2011-10,18
2011-11,26
2011-12,22
2012-01,17
2012-02,22
2012-03,18
2012-04,18
2012-05,14
2012-06,13
2012-07,13
2012-08,25
2012-09,27
2012-10,46
2012-11,40
2012-12,43
2013-01,39
2013-02,32
2013-03,27
2013-04,23
2013-05,23
2013-06,22
2013-07,21
2013-08,25
2013-09,16
2013-10,12
2013-11,18
2013-12,15
2014-01,19
2014-02,14
2014-03,10
2014-04,10
2014-05,10
2014-06,9
2014-07,9
2014-08,26
2014-09,20
2014-10,32
2014-11,52
2014-12,44
2015-01,37
2015-02,34
2015-03,25
2015-04,25
2015-05,33
2015-06,31
2015-07,35
2015-08,30
2015-09,29
2015-10,26
2015-11,20
2015-12,20
2016-01,16
2016-02,27
2016-03,16
2016-04,18
2016-05,14
2016-06,26
2016-07,36
2016-08,15
2016-09,13
2016-10,12
2016-11,14
2016-12,13
2017-01,10
2017-02,10
2017-03,8
2017-04,8
2017-05,9
2017-06,9
2017-07,8
2017-08,40
2017-09,20
2017-10,15
2017-11,29
2017-12,19
2018-01,11
2018-02,9
2018-03,10
2018-04,10
2018-05,15
2018-06,10
2018-07,16
2018-08,12
2018-09,10
2018-10,13
2018-11,7
2018-12,8
2019-01,10
2019-02,8
2019-03,7
2019-04,14
2019-05,12
2019-06,15
2019-07,14
2019-08,23
2019-09,12
2019-10,12
2019-11,16
2019-12,12
2020-01,10
2020-02,15
2020-03,9
2020-04,8
2020-05,8
2020-06,6
2020-07,18
2020-08,12
2020-09,9
2020-10,7
2020-11,9
2020-12,18
2021-01,9
2021-02,11
2021-03,12
2021-04,12
2021-05,8
2021-06,8
2021-07,8
2021-08,8
2021-09,8
2021-10,8
2021-11,35
2021-12,13
2022-01,12
2022-02,11
2022-03,9
2022-04,12
2022-05,14
2022-06,9
2022-07,10
2022-08,13
2022-09,13
2022-10,30
2022-11,63
2022-12,21
2023-01,18
2023-02,21
2023-03,36
2023-04,53
2023-05,67
2023-06,54
2023-07,61
2023-08,61
2023-09,79
2023-10,100
2023-11,77
2023-12,76
