,chart_week,chart_position,song_title,artist,prior_wk_position,peak_pos,wks_on_chart,alb_title,song_r_date,track,acou,dance,ener,instru,live,loud,speech,temp,val,pop,dur,alb_id,song_id,days,tot_streams,last_stream_update,avg_daily_streams,top_song,top_song_flag,top_s_cnt,record_type,alb_num,alb_ann_mo,alb_ann_day,alb_ann_yr,alb_ann_date,alb_r_mo,alb_r_day,alb_r_yr,alb_r_date,wk1_alb_sales,top_alb_count,top_alb_normal,alb_track_cnt,tvflag,sales_group,tot_streams_group,alb_genre,song_cluster_num,song_cluster_color
0,7/27/2013,65.0,22,Taylor Swift,55.0,20.0,20.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
1,7/20/2013,55.0,22,Taylor Swift,49.0,20.0,19.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
2,7/13/2013,49.0,22,Taylor Swift,41.0,20.0,18.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
3,7/6/2013,41.0,22,Taylor Swift,32.0,20.0,17.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
4,6/29/2013,32.0,22,Taylor Swift,26.0,20.0,16.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
5,6/22/2013,26.0,22,Taylor Swift,24.0,20.0,15.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
6,6/15/2013,24.0,22,Taylor Swift,23.0,20.0,14.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
7,6/8/2013,23.0,22,Taylor Swift,26.0,20.0,13.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
8,6/1/2013,26.0,22,Taylor Swift,25.0,20.0,12.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
9,5/25/2013,25.0,22,Taylor Swift,21.0,20.0,11.0,Red (Deluxe Edition),10/22/2012,6.0,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,60.0,230133.0,RED,RED06,4035.0,359657667.0,11/9/2023,89134.0,top song,True,4.0,original,4.0,August,13.0,2012.0,8/13/2012,October,22.0,2012.0,10/22/2012,1208000.0,185.0,0.045848823,22.0,False,High first week sales,High total streams,Pop rock,3,yellow
