,alb_state_key,alb_num,alb_id,state,state_num,st_group_alb_search_avg,alb_group_st_search_avg,alb_r_date,record_type,tvflag,st_alb_pop_group,album_event,alb_track_cnt,wk1_alb_sales,tot_alb_plays,top_s_cnt,avg_daily_alb_streams,top_alb_count,top_alb_n,days_sr,alb_ann_day,alb_ann_yr,alb_r_day,alb_r_yr,acou_m,dance_m,ener_m,instru_m,live_m,loud_m,speech_m,temp_m,val_m,dur_m,color,alb_genre
0,"1989, Alabama",5,1989,Alabama,1,67.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
1,"1989, Alaska",5,1989,Alaska,2,52.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
2,"1989, Arizona",5,1989,Arizona,3,62.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
3,"1989, Arkansas",5,1989,Arkansas,4,72.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
4,"1989, California",5,1989,California,5,63.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
5,"1989, Colorado",5,1989,Colorado,6,63.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
6,"1989, Connecticut",5,1989,Connecticut,7,78.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
7,"1989, Delaware",5,1989,Delaware,8,73.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
8,"1989, District of Columbia",5,1989,District of Columbia,9,79.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
9,"1989, Florida",5,1989,Florida,10,54.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
10,"1989, Georgia",5,1989,Georgia,11,54.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
11,"1989, Hawaii",5,1989,Hawaii,12,66.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
12,"1989, Idaho",5,1989,Idaho,13,71.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
13,"1989, Illinois",5,1989,Illinois,14,60.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
14,"1989, Indiana",5,1989,Indiana,15,77.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
15,"1989, Iowa",5,1989,Iowa,16,75.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
16,"1989, Kansas",5,1989,Kansas,17,60.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
17,"1989, Kentucky",5,1989,Kentucky,18,76.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
18,"1989, Louisiana",5,1989,Louisiana,19,63.0,67.0,2014-10-27,original,False,Medium search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
19,"1989, Maine",5,1989,Maine,20,73.0,67.0,2014-10-27,original,False,High search popularity,1989,16,1297000.0,220933979.5,10,66949.0,464,0,3300,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0,skyblue,pop
