,state,st_overall_search_avg,top_alb_num,st_top_album,max_gsearch_score,st_lowest_album,REP_avg_score,country_norm,pop_norm,rock_norm,alt_norm,always_ts_sum,originals_sum,taylorsversions_sum,upcoming_sum,MIDN_avg_score,MIDN_sum_n,DEBUT_avg_score,DEBUT_sum,FEAR_avg_score,FEAR_sum,SPEAK_avg_score,SPEAK_sum,RED_avg_score,RED_sum,1989_avg_score,1989_sum,REP_sum,LOVE_avg_score,LOVE_sum,FOLK_avg_score,FOLK_sum,EVER_avg_score,EVER_sum,FEARTV_avg_score,FEARTV_sum,REDTV_avg_score,REDTV_sum,SPEAKTV_avg_score,SPEAKTV_sum,1989TV_avg_score,1989TV_sum_n,country_sum,pop_sum,rock_sum,alt_sum,state_num,st_alb_pop_group
0,Alabama,52.0,2,FEAR,93,DEBUT,65.0,235.0,287.81,256.25,243.5,1030,1346,846,433,54.25,271,21.6,108,70.8,354,65.6,328,65.2,326,67.6,338,325,54.4,272,46.0,230,51.4,257,48.6,243,53.8,269,20.4,102,48.5,232,705,1439,1025,487,1,Medium search popularity
1,Alaska,46.0,10,FEARTV,100,DEBUT,55.6,208.3333333333333,263.56,212.0,223.5,988,1022,866,361,48.0,240,16.6,83,46.4,232,52.0,260,54.0,270,52.0,260,278,60.2,301,43.6,218,45.8,229,62.0,310,42.2,211,21.4,107,49.75,238,625,1317,848,447,2,Low search popularity
2,Arizona,49.0,5,1989,72,DEBUT,62.2,183.0,282.795,235.5,262.0,1065,1111,864,388,52.875,264,15.4,77,42.8,214,52.0,260,65.0,325,62.4,312,311,55.4,277,47.6,238,57.2,286,51.6,258,52.0,260,19.4,97,52.0,249,549,1413,942,524,3,Low search popularity
3,Arkansas,54.0,5,1989,85,DEBUT,63.4,243.3333333333333,299.285,265.25,246.0,1042,1348,917,471,58.125,290,30.8,154,67.8,339,61.6,308,68.2,341,72.0,360,317,52.0,260,44.0,220,54.4,272,47.4,237,57.4,287,25.0,125,56.0,268,730,1496,1061,492,4,Medium search popularity
4,California,46.0,13,SPEAKTV,100,DEBUT,61.8,142.66666666666666,279.55,231.25,247.0,1009,911,985,339,49.75,248,6.0,30,28.0,140,32.0,160,59.2,296,63.0,315,309,53.4,267,45.6,228,53.2,266,51.6,258,52.8,264,41.0,205,53.75,258,428,1397,925,494,5,Low search popularity
5,Colorado,54.0,13,SPEAKTV,100,DEBUT,67.0,192.66666666666663,314.65500000000003,260.0,304.0,1207,1045,1127,419,58.375,291,16.8,84,41.6,208,48.4,242,55.4,277,63.6,318,335,61.6,308,58.4,292,63.2,316,57.2,286,59.8,299,44.4,222,66.75,320,578,1573,1040,608,6,Medium search popularity
6,Connecticut,63.0,5,1989,90,DEBUT,68.8,251.3333333333333,346.565,308.25,360.0,1410,1470,1166,393,65.125,325,9.8,49,64.6,323,73.8,369,77.4,387,78.2,391,344,73.0,365,68.0,340,76.0,380,76.4,382,68.2,341,27.2,136,64.0,307,754,1732,1233,720,7,High search popularity
7,Delaware,54.0,3,SPEAK,100,DEBUT,55.8,216.66666666666663,296.435,292.25,250.0,1051,1451,934,364,52.875,264,17.0,85,62.2,311,74.8,374,80.2,401,73.0,365,279,57.4,287,50.2,251,49.8,249,50.8,254,54.2,271,24.6,123,59.75,286,650,1482,1169,500,8,Medium search popularity
8,District of Columbia,68.0,6,REP,100,DEBUT,89.8,211.0,403.845,299.25,435.5,1747,1093,1410,469,98.125,490,4.0,20,37.6,188,49.0,245,52.8,264,79.2,396,449,77.2,386,87.2,436,87.0,435,85.0,425,100.0,500,37.6,188,62.0,297,633,2019,1197,871,9,High search popularity
9,Florida,41.0,5,1989,62,DEBUT,51.2,151.33333333333334,245.315,204.5,201.5,854,953,777,317,43.875,219,12.2,61,37.8,189,45.4,227,53.0,265,54.4,272,256,46.4,232,38.0,190,42.6,213,40.8,204,42.2,211,23.0,115,51.5,247,454,1226,818,403,10,Low search popularity
