,song_id,cnt_chart_wks,tot_streams,avg_daily_streams,song_cluster_num,song_cluster_color,speech,days,song_title,song_release_date,track,acou,dance,ener,instru,live,loud,temp,val,pop,dur,top_song,top_song_flag,alb_id,alb_title,wk1_alb_sales,top_s_cnt,record_type,alb_num,alb_ann_mo,alb_ann_day,alb_ann_yr,alb_ann_date,album_release_mo,alb_r_day,alb_r_yr,alb_r_date,top_alb_count,top_alb_normal,alb_track_cnt,tvflag,sales_group,tot_streams_group,alb_genre,alb_cluster_num,last_stream_update
0,1989TV01,2.0,35521714,2732439,2,purple,0.0327,13,Welcome To New York (Taylor's Version),10/27/2023,1,0.00942,0.757,0.61,3.66e-05,0.367,-4.84,116.998,0.685,80,212600,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
1,1989TV02,3.0,40958068,3150620,2,purple,0.067,13,Blank Space (Taylor's Version),10/27/2023,2,0.0885,0.733,0.733,0.0,0.168,-5.376,96.057,0.701,80,231833,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
2,1989TV03,4.0,47687102,3668238,2,purple,0.0397,13,Style (Taylor's Version),10/27/2023,3,0.000421,0.511,0.822,0.0197,0.0899,-4.785,94.868,0.305,81,231000,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
3,1989TV04,3.0,37545128,2888086,2,purple,0.0447,13,Out Of The Woods (Taylor's Version),10/27/2023,4,0.000537,0.545,0.885,5.59e-05,0.385,-5.968,92.021,0.206,80,235800,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
4,1989TV05,2.0,31008534,2385271,2,purple,0.0317,13,All You Had To Do Was Stay (Taylor's Version),10/27/2023,5,0.000656,0.588,0.721,0.0,0.131,-5.579,96.997,0.52,79,193289,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
5,1989TV06,2.0,29684734,2283441,2,purple,0.0729,13,Shake It Off (Taylor's Version),10/27/2023,6,0.0121,0.636,0.808,2.18e-05,0.359,-5.693,160.058,0.917,79,219209,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
6,1989TV07,1.0,27727454,2132881,2,purple,0.0439,13,I Wish You Would (Taylor's Version),10/27/2023,7,0.00354,0.67,0.858,1.25e-05,0.0687,-6.528,118.009,0.539,79,207650,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
7,1989TV08,3.0,26353077,2027159,2,purple,0.194,13,Bad Blood (Taylor's Version),10/27/2023,8,0.0362,0.618,0.683,0.0,0.305,-6.438,169.971,0.363,78,211103,top song,False,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
8,1989TV09,3.0,543373389,41797953,2,purple,0.0656,13,Wildest Dreams (Taylor's Version),10/27/2023,9,0.0436,0.589,0.674,7.18e-05,0.112,-7.48,139.985,0.514,78,220433,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,High total streams,Synth/Dream/Dance pop,2,11/9/2023
9,1989TV10,1.0,24935822,1918140,2,purple,0.0515,13,How You Get The Girl (Taylor's Version),10/27/2023,10,0.00196,0.758,0.691,1.09e-05,0.0939,-5.798,119.997,0.538,78,247533,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
10,1989TV11,1.0,180539553,13887657,2,purple,0.0355,13,This Love (Taylor's Version),10/27/2023,11,0.316,0.471,0.509,0.0,0.0673,-8.796,144.071,0.0567,77,250100,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Medium total streams,Synth/Dream/Dance pop,2,11/9/2023
11,1989TV12,1.0,25162350,1935565,2,purple,0.0445,13,I Know Places (Taylor's Version),10/27/2023,12,0.0999,0.582,0.788,0.0,0.115,-5.358,160.027,0.652,78,195700,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
12,1989TV13,2.0,28501603,2192431,2,purple,0.0293,13,Clean (Taylor's Version),10/27/2023,13,0.25,0.772,0.391,2.92e-05,0.0981,-8.892,103.955,0.258,78,271000,top song,True,1989TV,1989 (Taylor's Version)[Deluxe],1359000,21,Taylor's Version,14,August,9,2023,8/9/2023,October,27,2023,10/27/2023,1,0.076923077,22,True,High first week sales,Low total streams,Synth/Dream/Dance pop,2,11/9/2023
